participant_id,image_path,detected_foods,estimated_calories
p01,data/raw/p01/food-images/IMG_8916.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8917.jpeg,"['chocolate', 'egg']",655
p01,data/raw/p01/food-images/IMG_8918.jpeg,['orange'],47
p01,data/raw/p01/food-images/IMG_8920.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_8921.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8922.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8923.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_8927.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8928.jpeg,"['cheeseburger', 'cheese', 'hotdog']",960
p01,data/raw/p01/food-images/IMG_8929.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8957.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_8958.jpeg,['banana'],89
p01,data/raw/p01/food-images/IMG_8959.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8960.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8961.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8962.jpeg,"['apple', 'banana']",141
p01,data/raw/p01/food-images/IMG_8963.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8964.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8965.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8966.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_8967.jpeg,['pizza'],280
p01,data/raw/p01/food-images/IMG_8968.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8969.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8970.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8972.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_8973.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8975.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8977.jpeg,['hotdog'],260
p01,data/raw/p01/food-images/IMG_8980.jpeg,['chocolate'],500
p01,data/raw/p01/food-images/IMG_8981.jpeg,[],0
p01,data/raw/p01/food-images/IMG_8982.jpeg,['hotdog'],260
