Chemin_Fichier,Date_Heure_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_8916.jpeg,2025-12-14 09:23:08.304783821,macarons,12.93%,OK
../data/raw/p01/food-images/IMG_8917.jpeg,2025-12-14 09:23:06.982498407,pancakes,22.30%,OK
../data/raw/p01/food-images/IMG_8918.jpeg,2025-12-14 09:23:12.486400604,macarons,9.48%,OK
../data/raw/p01/food-images/IMG_8920.jpeg,2025-12-14 09:23:07.647373676,pizza,21.25%,OK
../data/raw/p01/food-images/IMG_8921.jpeg,2025-12-14 09:23:07.579516649,mussels,19.73%,OK
../data/raw/p01/food-images/IMG_8922.jpeg,2025-12-14 09:23:12.719058752,ice cream,16.22%,OK
../data/raw/p01/food-images/IMG_8923.jpeg,2025-12-14 09:23:12.088029861,onion rings,51.92%,OK
../data/raw/p01/food-images/IMG_8927.jpeg,2025-12-14 09:23:08.853007317,cheese plate,17.65%,OK
../data/raw/p01/food-images/IMG_8928.jpeg,2025-12-14 09:23:11.340592384,omelette,16.02%,OK
../data/raw/p01/food-images/IMG_8929.jpeg,2025-12-14 09:23:10.425757647,escargots,6.81%,OK
../data/raw/p01/food-images/IMG_8957.jpeg,2025-12-14 09:23:08.424819708,apple pie,12.50%,OK
../data/raw/p01/food-images/IMG_8958.jpeg,2025-12-14 09:23:12.358980894,baklava,36.36%,OK
../data/raw/p01/food-images/IMG_8959.jpeg,2025-12-14 09:23:12.381673098,risotto,11.76%,OK
../data/raw/p01/food-images/IMG_8960.jpeg,2025-12-14 09:23:07.428586960,macarons,11.08%,OK
../data/raw/p01/food-images/IMG_8961.jpeg,2025-12-14 09:23:07.793398619,macarons,8.97%,OK
../data/raw/p01/food-images/IMG_8962.jpeg,2025-12-14 09:23:12.188550949,spring rolls,40.91%,OK
../data/raw/p01/food-images/IMG_8963.jpeg,2025-12-14 09:23:12.598414421,ceviche,19.99%,OK
../data/raw/p01/food-images/IMG_8964.jpeg,2025-12-14 09:23:10.303926706,ceviche,17.00%,OK
../data/raw/p01/food-images/IMG_8965.jpeg,2025-12-14 09:23:11.553920031,french fries,11.24%,OK
../data/raw/p01/food-images/IMG_8966.jpeg,2025-12-14 09:23:08.705190897,pizza,44.07%,OK
../data/raw/p01/food-images/IMG_8967.jpeg,2025-12-14 09:23:09.934113503,carrot cake,18.60%,OK
../data/raw/p01/food-images/IMG_8968.jpeg,2025-12-14 09:23:10.609704733,ice cream,12.15%,OK
../data/raw/p01/food-images/IMG_8969.jpeg,2025-12-14 09:23:11.230288029,tiramisu,13.47%,OK
../data/raw/p01/food-images/IMG_8970.jpeg,2025-12-14 09:23:08.789362431,macarons,9.92%,OK
../data/raw/p01/food-images/IMG_8972.jpeg,2025-12-14 09:23:10.213580608,macarons,19.09%,OK
../data/raw/p01/food-images/IMG_8973.jpeg,2025-12-14 09:23:11.589076281,chocolate mousse,8.59%,OK
../data/raw/p01/food-images/IMG_8975.jpeg,2025-12-14 09:23:12.650075674,miso soup,19.03%,OK
../data/raw/p01/food-images/IMG_8977.jpeg,2025-12-14 09:23:07.712374210,ice cream,13.63%,OK
../data/raw/p01/food-images/IMG_8980.jpeg,2025-12-14 09:23:13.018848419,tiramisu,20.85%,OK
../data/raw/p01/food-images/IMG_8981.jpeg,2025-12-14 09:23:11.771279335,waffles,14.74%,OK
../data/raw/p01/food-images/IMG_8982.jpeg,2025-12-14 09:23:08.107976198,cheese plate,10.91%,OK
../data/raw/p01/food-images/IMG_8983.jpeg,2025-12-14 09:23:07.150130272,gyoza,8.93%,OK
../data/raw/p01/food-images/IMG_8984.jpeg,2025-12-14 09:23:09.523534536,miso soup,29.37%,OK
../data/raw/p01/food-images/IMG_8985.jpeg,2025-12-14 09:23:09.207288027,guacamole,12.19%,OK
../data/raw/p01/food-images/IMG_8986.jpeg,2025-12-14 09:23:11.194992304,churros,31.05%,OK
../data/raw/p01/food-images/IMG_8996.jpeg,2025-12-14 09:23:13.125330925,shrimp and grits,18.67%,OK
../data/raw/p01/food-images/IMG_8998.jpeg,2025-12-14 09:23:07.731373549,paella,36.55%,OK
../data/raw/p01/food-images/IMG_8999.jpeg,2025-12-14 09:23:07.485824585,panna cotta,15.31%,OK
../data/raw/p01/food-images/IMG_9001.jpeg,2025-12-14 09:23:11.721108198,ice cream,22.91%,OK
../data/raw/p01/food-images/IMG_9002.jpeg,2025-12-14 09:23:08.028189898,ice cream,17.73%,OK
../data/raw/p01/food-images/IMG_9003.jpeg,2025-12-14 09:23:07.219359159,macarons,9.89%,OK
../data/raw/p01/food-images/IMG_9005.jpeg,2025-12-14 09:23:09.296362400,panna cotta,10.57%,OK
../data/raw/p01/food-images/IMG_9006.jpeg,2025-12-14 09:23:11.300385475,tuna tartare,17.19%,OK
../data/raw/p01/food-images/IMG_9007.jpeg,2025-12-14 09:23:10.449002743,cheese plate,13.75%,OK
../data/raw/p01/food-images/IMG_9008.jpeg,2025-12-14 09:23:09.791423798,fried calamari,23.38%,OK
../data/raw/p01/food-images/IMG_9009.jpeg,2025-12-14 09:23:08.867019415,chocolate mousse,14.04%,OK
../data/raw/p01/food-images/IMG_9010.jpeg,2025-12-14 09:23:11.090876818,strawberry shortcake,41.04%,OK
../data/raw/p01/food-images/IMG_9011.jpeg,2025-12-14 09:23:10.688411236,paella,14.31%,OK
../data/raw/p01/food-images/IMG_9012.jpeg,2025-12-14 09:23:09.576360941,chocolate mousse,21.66%,OK
